date,first_name,life_force
2024-05-25,Vizzini,83.55
2024-05-27,Buttercup,76.21
2024-05-01,Fezzik,1.87
2024-07-17,Vizzini,55.21
2025-10-11,Inigo Montoya,43.17
2024-05-29,Count Rugen,75.72
2024-02-25,Prince Humperdink,78.57
2025-08-02,Count Rugen,13.61
2024-04-03,Inigo Montoya,32.91
2024-12-08,Fezzik,53.41
2024-03-26,Valerie,80.11
2025-09-08,Inigo Montoya,50.26
2024-12-07,Count Rugen,53.48
2024-10-17,Vizzini,33.98
2025-01-28,Valerie,28.49
2024-11-27,Prince Humperdink,56.57
2025-05-06,Prince Humperdink,14.31
2025-10-05,Valerie,75.59
2025-03-04,Fezzik,42.9
2024-11-11,Fezzik,79.11
2024-06-18,Buttercup,50.69
2025-10-27,Prince Humperdink,17.0
2024-06-24,Count Rugen,95.77
2025-01-16,Vizzini,51.6
2024-06-14,Valerie,20.35
2025-03-22,Inigo Montoya,89.72
2025-06-09,Vizzini,43.97
2025-08-29,Inigo Montoya,78.75
2024-06-16,Fezzik,60.2
2025-10-17,Vizzini,80.37
2025-09-01,Prince Humperdink,50.58
2025-11-14,Inigo Montoya,54.29
2025-09-11,Buttercup,32.48
2025-09-28,Miracle Max,32.22
2024-02-15,Prince Humperdink,16.55
2024-10-24,Buttercup,12.08
2025-06-04,Count Rugen,68.85
2025-04-17,Prince Humperdink,6.12
2025-03-27,Valerie,28.7
2024-04-23,Buttercup,66.91
2025-11-18,Count Rugen,9.52
2025-05-06,Inigo Montoya,83.96
2024-07-29,Prince Humperdink,47.38
2024-11-26,Valerie,18.88
2024-08-17,Count Rugen,87.36
2025-11-12,Miracle Max,75.58
2025-05-03,Prince Humperdink,91.18
2024-02-14,Vizzini,90.08
2024-10-18,Prince Humperdink,38.84
2025-09-15,Vizzini,3.99
2025-01-04,Buttercup,25.52
2024-04-26,Buttercup,39.56
2025-01-10,Count Rugen,73.48
2024-11-25,Prince Humperdink,81.52
2024-06-30,Buttercup,27.21
2024-09-11,Prince Humperdink,30.74
2025-09-19,Inigo Montoya,20.69
2024-09-09,Count Rugen,5.03
2024-01-30,Vizzini,74.65
2025-04-22,Buttercup,62.15
2024-06-16,Prince Humperdink,60.97
2025-01-03,Inigo Montoya,84.7
2025-08-21,Prince Humperdink,20.83
2025-03-17,Fezzik,92.78
2024-03-04,Vizzini,78.37
2025-02-20,Miracle Max,19.18
2024-10-27,Fezzik,47.12
2025-01-23,Vizzini,66.68
2024-11-26,Buttercup,74.69
2024-03-09,Prince Humperdink,31.18
2024-09-24,Inigo Montoya,9.35
2024-09-16,Miracle Max,5.39
2024-04-24,Miracle Max,54.31
2025-07-26,Fezzik,70.08
2025-07-04,Vizzini,46.36
2024-05-04,Vizzini,18.69
2025-04-15,Miracle Max,20.28
2024-04-05,Buttercup,15.61
2024-07-06,Fezzik,82.38
2025-07-28,Prince Humperdink,94.96
2025-10-04,Valerie,14.99
2025-03-12,Vizzini,74.33
2024-11-08,Vizzini,95.61
2025-08-17,Vizzini,10.92
2025-03-18,Inigo Montoya,3.91
2024-08-14,Miracle Max,88.64
2024-09-22,Inigo Montoya,79.87
2024-11-06,Count Rugen,54.94
2025-08-10,Count Rugen,82.27
2024-08-08,Miracle Max,96.39
2025-02-14,Valerie,33.84
2024-05-08,Valerie,47.92
2025-09-08,Count Rugen,22.11
2024-05-27,Valerie,35.3
2024-07-05,Fezzik,88.27
2024-07-07,Count Rugen,80.02
2025-10-28,Valerie,25.03
2024-05-20,Buttercup,98.18
2024-02-18,Vizzini,32.0
2024-12-07,Fezzik,5.08
2025-12-12,Vizzini,94.86
2024-06-25,Miracle Max,86.07
2025-02-01,Valerie,37.37
2025-04-22,Miracle Max,39.54
2025-12-30,Vizzini,5.78
2024-06-24,Miracle Max,32.57
2025-02-10,Inigo Montoya,30.63
2024-03-18,Valerie,96.78
2024-01-18,Valerie,39.61
2024-01-02,Count Rugen,34.33
2025-11-26,Count Rugen,66.1
2025-09-07,Count Rugen,36.59
2025-07-16,Inigo Montoya,47.25
2025-12-02,Count Rugen,84.16
2024-06-28,Inigo Montoya,57.7
2025-04-27,Count Rugen,13.32
2025-11-27,Vizzini,35.47
2024-12-29,Valerie,20.01
2024-11-21,Buttercup,39.42
2025-02-22,Fezzik,94.69
2024-11-18,Count Rugen,26.42
2025-07-23,Vizzini,30.64
2024-11-10,Fezzik,75.86
2025-08-24,Vizzini,92.28
2025-10-04,Inigo Montoya,57.75
2024-07-25,Count Rugen,74.64
2025-08-16,Prince Humperdink,25.37
2025-02-08,Buttercup,44.43
2025-08-22,Miracle Max,47.22
2025-01-20,Buttercup,77.61
2024-03-17,Inigo Montoya,35.15
2025-05-06,Count Rugen,98.22
2025-02-27,Vizzini,49.19
2024-04-28,Inigo Montoya,22.44
2025-01-17,Miracle Max,68.03
2025-05-26,Prince Humperdink,77.96
2025-09-25,Count Rugen,45.88
2024-06-14,Vizzini,12.77
2025-10-09,Valerie,61.99
2024-05-21,Prince Humperdink,5.85
2025-12-17,Vizzini,32.09
2024-01-25,Buttercup,39.52
2024-09-21,Miracle Max,69.57
2025-10-06,Vizzini,37.51
2024-12-10,Vizzini,58.0
2025-05-28,Count Rugen,80.08
2024-06-05,Vizzini,86.52
2024-05-19,Inigo Montoya,46.22
2024-04-01,Count Rugen,74.67
2024-07-25,Inigo Montoya,88.96
2025-07-25,Vizzini,61.78
2025-01-02,Count Rugen,98.06
2025-05-09,Inigo Montoya,14.2
2025-10-11,Inigo Montoya,95.75
2024-10-24,Fezzik,81.31
2024-11-13,Miracle Max,10.61
2024-10-24,Fezzik,37.53
2025-09-19,Miracle Max,75.93
2024-04-16,Buttercup,59.22
2024-05-31,Buttercup,56.11
2024-06-06,Vizzini,23.98
2025-07-11,Inigo Montoya,55.85
2024-09-09,Count Rugen,47.89
2024-12-14,Miracle Max,89.89
2025-04-28,Inigo Montoya,82.86
2024-03-25,Vizzini,94.71
2024-05-18,Buttercup,23.8
2025-05-14,Buttercup,80.36
2025-11-23,Valerie,17.08
2025-10-06,Vizzini,24.36
2024-11-18,Inigo Montoya,7.92
2025-01-18,Miracle Max,46.98
2025-10-06,Count Rugen,3.34
2024-02-15,Fezzik,35.18
2024-09-13,Prince Humperdink,38.95
2025-09-28,Valerie,12.41
2024-10-08,Buttercup,63.59
2025-04-30,Count Rugen,59.55
2025-08-21,Valerie,68.62
2024-05-30,Count Rugen,86.88
2024-07-29,Inigo Montoya,26.92
2024-10-30,Fezzik,52.8
2025-06-05,Prince Humperdink,24.44
2024-07-01,Inigo Montoya,32.16
2024-09-15,Prince Humperdink,54.5
2025-04-06,Miracle Max,84.26
2025-02-08,Miracle Max,7.77
2024-08-31,Fezzik,74.82
2024-08-23,Count Rugen,46.61
2024-03-21,Fezzik,36.92
2025-09-23,Inigo Montoya,86.81
2024-07-23,Count Rugen,46.6
2024-07-21,Inigo Montoya,73.98
2024-01-23,Miracle Max,33.91
2025-09-14,Count Rugen,27.11
2024-11-15,Miracle Max,94.97
2025-08-15,Buttercup,91.58
2025-12-19,Valerie,85.82
2025-08-17,Vizzini,84.58
2024-02-19,Vizzini,60.11
2024-11-30,Inigo Montoya,79.61
2024-06-08,Miracle Max,7.04
2024-04-14,Buttercup,36.01
2025-01-07,Miracle Max,66.72
2024-05-10,Valerie,68.16
2024-01-18,Buttercup,98.3
2025-01-06,Fezzik,58.13
2024-03-10,Prince Humperdink,19.43
2025-01-03,Prince Humperdink,27.97
2025-11-06,Count Rugen,19.91
2025-09-26,Buttercup,75.29
2025-07-05,Fezzik,89.29
2025-08-21,Buttercup,31.49
2024-03-13,Valerie,72.34
2024-08-12,Inigo Montoya,52.32
2024-11-09,Valerie,63.2
2024-11-19,Vizzini,93.09
2024-02-07,Count Rugen,69.77
2025-01-22,Valerie,76.24
2025-11-19,Miracle Max,19.24
2024-07-20,Count Rugen,75.35
2024-03-06,Miracle Max,50.65
2024-04-18,Prince Humperdink,14.94
2024-02-18,Fezzik,98.5
2024-09-02,Valerie,30.97
2024-10-03,Buttercup,59.29
2025-12-26,Valerie,98.05
2024-04-08,Valerie,48.26
2024-02-25,Count Rugen,97.06
2025-01-16,Miracle Max,54.41
2025-08-12,Prince Humperdink,21.51
2025-12-23,Buttercup,48.76
2024-06-10,Valerie,30.06
2024-09-19,Buttercup,1.05
2024-11-15,Miracle Max,10.04
2025-02-20,Buttercup,69.14
2025-02-17,Buttercup,55.71
2024-03-02,Vizzini,11.47
2025-01-08,Miracle Max,97.22
2024-09-05,Miracle Max,34.15
2025-09-25,Valerie,27.92
2024-02-19,Prince Humperdink,66.51
2025-03-05,Fezzik,10.77
2025-03-12,Vizzini,85.57
2025-09-25,Buttercup,94.92
2025-01-24,Prince Humperdink,98.01
2024-04-08,Inigo Montoya,29.91
2024-01-31,Count Rugen,61.43
2024-09-14,Count Rugen,80.18
2024-05-30,Fezzik,95.55
2024-08-15,Vizzini,94.87
2025-01-20,Miracle Max,58.11
2024-06-30,Vizzini,74.78
2024-06-18,Vizzini,56.13
2024-07-10,Vizzini,17.59
2025-05-30,Prince Humperdink,91.43
2025-04-11,Valerie,73.02
2025-01-31,Miracle Max,51.15
2025-05-19,Vizzini,81.75
2024-04-07,Prince Humperdink,50.94
2025-06-02,Inigo Montoya,15.52
2024-04-10,Buttercup,21.78
2024-05-18,Prince Humperdink,8.75
2024-06-12,Vizzini,11.59
2025-04-16,Buttercup,4.75
2025-06-15,Count Rugen,88.98
2025-07-05,Buttercup,70.56
2025-03-21,Miracle Max,36.17
2024-06-01,Valerie,43.27
2024-05-05,Vizzini,39.3
2025-03-27,Vizzini,34.77
2025-11-11,Inigo Montoya,47.73
2024-01-31,Valerie,69.23
2025-07-28,Valerie,26.79
2024-11-19,Buttercup,72.56
2025-08-25,Inigo Montoya,92.69
2025-05-17,Buttercup,35.82
2024-06-12,Prince Humperdink,86.77
2025-09-06,Miracle Max,59.93
2024-09-03,Valerie,29.12
2024-06-27,Fezzik,79.45
2024-04-08,Buttercup,37.19
2024-02-11,Valerie,72.09
2024-12-12,Prince Humperdink,94.54
2024-01-13,Buttercup,2.47
2024-06-26,Valerie,72.49
2025-09-17,Valerie,24.08
2025-05-11,Prince Humperdink,23.67
2025-09-09,Buttercup,59.68
2025-09-13,Miracle Max,37.81
2024-10-23,Vizzini,35.25
2024-03-15,Buttercup,17.76
2025-09-06,Valerie,77.62
2025-07-13,Valerie,90.21
2025-12-29,Valerie,60.66
2024-05-31,Vizzini,78.43
2024-05-03,Fezzik,73.8
2024-05-30,Fezzik,13.63
2025-11-20,Vizzini,47.67
2024-08-24,Prince Humperdink,86.3
2024-05-10,Fezzik,97.19
2025-08-08,Inigo Montoya,20.0
2025-10-06,Inigo Montoya,98.37
2025-05-22,Count Rugen,85.48
2024-06-22,Vizzini,63.9
2025-01-19,Fezzik,44.92
2024-11-11,Inigo Montoya,14.76
2025-11-28,Count Rugen,60.19
2025-06-05,Buttercup,19.15
2024-06-16,Vizzini,47.17
2025-08-28,Fezzik,57.94
2025-07-24,Miracle Max,50.47
2025-07-23,Fezzik,39.46
2024-08-10,Fezzik,61.13
2025-05-11,Valerie,39.08
2025-09-28,Fezzik,22.53
2024-09-01,Fezzik,34.08
2024-07-18,Valerie,74.83
2025-04-04,Count Rugen,54.99
2025-05-05,Miracle Max,94.56
2024-04-09,Prince Humperdink,89.95
2024-05-19,Fezzik,52.94
2025-12-02,Fezzik,20.58
2024-03-16,Count Rugen,19.28
2025-09-27,Valerie,77.14
2024-03-01,Valerie,36.28
2025-12-01,Valerie,80.2
2024-11-27,Inigo Montoya,19.19
2025-03-09,Valerie,10.51
2024-05-27,Inigo Montoya,13.06
2024-04-16,Vizzini,61.97
2025-05-09,Fezzik,65.76
2024-08-01,Inigo Montoya,53.84
2024-04-21,Vizzini,94.88
2024-03-08,Vizzini,19.08
2024-12-05,Valerie,30.98
2024-11-16,Buttercup,69.98
2024-06-25,Count Rugen,16.48
2024-01-09,Count Rugen,53.96
2024-05-11,Vizzini,22.73
2024-02-15,Prince Humperdink,48.01
2025-06-22,Fezzik,68.24
2025-07-28,Vizzini,30.43
2025-03-15,Fezzik,34.17
2025-11-08,Fezzik,46.77
2024-01-25,Prince Humperdink,1.82
2025-05-07,Buttercup,78.13
2024-06-20,Buttercup,16.94
2025-08-14,Count Rugen,10.38
2024-11-10,Inigo Montoya,79.94
2025-08-16,Prince Humperdink,63.33
2025-08-10,Buttercup,72.55
2025-12-12,Fezzik,33.13
2025-08-20,Valerie,42.74
2025-06-01,Inigo Montoya,76.79
2024-04-03,Miracle Max,47.76
2024-06-29,Vizzini,26.27
2025-05-12,Prince Humperdink,95.09
2025-12-03,Buttercup,88.27
2025-02-22,Valerie,26.39
2025-05-24,Inigo Montoya,15.42
2024-10-16,Valerie,83.13
2025-05-19,Fezzik,26.01
2025-03-15,Prince Humperdink,42.14
2025-05-23,Inigo Montoya,53.46
2025-01-19,Prince Humperdink,27.59
2025-01-17,Miracle Max,18.35
2025-01-10,Miracle Max,15.14
2025-06-08,Valerie,11.26
2025-09-20,Prince Humperdink,86.81
2024-09-29,Miracle Max,67.23
2025-06-13,Miracle Max,61.31
2025-04-27,Fezzik,75.12
2024-09-18,Miracle Max,60.05
2025-12-20,Prince Humperdink,91.1
2025-04-15,Inigo Montoya,26.39
2024-06-04,Valerie,29.28
2025-09-09,Vizzini,40.4
2025-07-16,Inigo Montoya,43.14
2024-09-07,Buttercup,90.25
2025-05-19,Valerie,54.18
2024-04-08,Miracle Max,84.06
2025-04-26,Vizzini,49.79
2024-05-13,Valerie,77.89
2024-08-01,Count Rugen,13.3
2025-07-07,Fezzik,71.11
2025-07-29,Prince Humperdink,49.19
2024-11-06,Buttercup,86.22
2025-04-19,Miracle Max,49.19
2024-09-21,Miracle Max,21.73
2024-11-27,Inigo Montoya,66.01
2024-08-09,Fezzik,30.95
2024-02-11,Fezzik,74.41
2025-07-08,Count Rugen,13.87
2025-11-02,Prince Humperdink,11.78
2025-03-13,Count Rugen,54.91
2025-02-01,Count Rugen,87.29
2025-11-14,Inigo Montoya,14.34
2024-05-10,Count Rugen,51.18
2025-11-21,Miracle Max,20.63
2025-12-19,Valerie,56.6
2025-01-14,Count Rugen,58.03
2025-07-21,Fezzik,80.29
2024-08-02,Vizzini,8.52
2024-12-30,Miracle Max,62.42
2024-10-13,Vizzini,84.92
2024-06-16,Inigo Montoya,29.09
2024-03-09,Valerie,6.0
2025-12-21,Vizzini,91.05
2025-06-28,Buttercup,45.88
2025-12-10,Fezzik,87.96
2025-07-25,Miracle Max,68.11
2024-03-28,Buttercup,46.56
2024-07-23,Miracle Max,10.15
2024-11-20,Prince Humperdink,99.39
2025-04-03,Valerie,88.96
2025-10-23,Buttercup,15.28
2024-08-25,Prince Humperdink,40.2
2024-05-07,Inigo Montoya,43.74
2024-03-20,Fezzik,80.66
2025-09-20,Inigo Montoya,22.99
2024-04-22,Count Rugen,24.92
2025-03-11,Vizzini,12.01
2024-09-21,Valerie,5.98
2025-11-23,Fezzik,88.93
2025-03-02,Miracle Max,89.25
2025-03-19,Miracle Max,79.1
2025-05-20,Miracle Max,90.95
2024-12-22,Count Rugen,98.68
2024-09-06,Miracle Max,41.88
2024-05-14,Valerie,59.22
2024-10-27,Miracle Max,44.53
2024-02-08,Count Rugen,92.07
2024-09-08,Vizzini,29.81
2025-05-06,Count Rugen,59.97
2025-03-20,Buttercup,93.66
2025-11-27,Valerie,39.8
2025-09-04,Fezzik,26.97
2025-06-22,Valerie,7.21
2024-11-03,Buttercup,79.56
2024-05-29,Prince Humperdink,98.56
2025-10-08,Vizzini,16.85
2024-03-16,Count Rugen,19.27
2024-07-21,Vizzini,95.28
2025-08-02,Miracle Max,27.97
2025-09-17,Buttercup,31.83
2024-05-12,Prince Humperdink,33.88
2024-04-24,Count Rugen,26.16
2025-07-02,Buttercup,47.49
2025-08-15,Buttercup,45.64
2025-08-31,Count Rugen,86.45
2025-09-13,Inigo Montoya,76.1
2024-03-02,Count Rugen,90.42
2024-08-03,Fezzik,60.98
2025-08-27,Valerie,67.17
2024-11-22,Valerie,49.71
2025-12-02,Vizzini,70.13
2025-09-24,Buttercup,76.7
2024-05-29,Count Rugen,98.21
2024-02-01,Vizzini,49.5
2025-10-11,Miracle Max,56.11
2025-05-04,Vizzini,78.61
2025-12-06,Miracle Max,8.47
2025-02-04,Miracle Max,10.77
2024-11-17,Vizzini,85.09
2024-07-14,Valerie,77.17
2024-02-02,Count Rugen,78.68
2025-01-09,Inigo Montoya,55.4
2024-09-19,Vizzini,8.63
2025-03-17,Buttercup,60.92
2025-06-26,Count Rugen,64.62
2024-11-07,Inigo Montoya,72.18
2024-08-22,Valerie,34.63
2025-04-20,Miracle Max,31.95
2025-04-27,Fezzik,16.22
2025-02-05,Vizzini,15.81
2024-10-31,Valerie,23.52
2024-06-16,Prince Humperdink,10.51
2025-06-01,Buttercup,19.7
2024-05-17,Miracle Max,34.41
2024-04-25,Buttercup,49.22
2024-06-07,Vizzini,49.31
2025-08-16,Valerie,70.8
2025-07-25,Fezzik,93.83
2024-02-02,Inigo Montoya,29.94
2024-04-28,Prince Humperdink,6.3
2024-04-22,Miracle Max,34.68
2024-08-14,Vizzini,3.86
2025-05-25,Inigo Montoya,46.26
2024-09-02,Vizzini,58.64
2025-03-09,Fezzik,10.98
2025-08-16,Inigo Montoya,18.96
2024-09-24,Count Rugen,28.94
2025-10-02,Prince Humperdink,18.64
2025-09-18,Count Rugen,82.01
2025-08-27,Vizzini,8.94
2025-04-01,Miracle Max,18.12
2025-05-13,Vizzini,74.02
2025-01-28,Vizzini,47.22
2024-11-20,Miracle Max,9.38
2025-07-08,Inigo Montoya,72.96
2024-12-04,Valerie,11.27
2024-12-26,Vizzini,91.88
2025-08-27,Count Rugen,67.06
2025-05-27,Fezzik,70.26
2024-01-14,Vizzini,75.91
2025-02-26,Valerie,28.76
2025-08-07,Fezzik,71.26
2025-08-13,Inigo Montoya,22.56
2025-08-19,Inigo Montoya,46.69
2025-08-05,Fezzik,28.04
2024-07-05,Prince Humperdink,42.74
2024-04-04,Fezzik,99.03
2024-07-06,Prince Humperdink,87.4
2025-09-08,Miracle Max,62.21
2024-09-08,Prince Humperdink,9.49
2024-11-20,Miracle Max,34.04
2025-08-20,Inigo Montoya,92.71
2024-12-08,Miracle Max,43.31
2025-03-18,Vizzini,23.53
2025-10-08,Valerie,43.37
2025-10-04,Valerie,8.81
2025-03-29,Prince Humperdink,61.8
2024-06-22,Miracle Max,95.26
2024-02-25,Count Rugen,73.63
2025-06-06,Prince Humperdink,92.97
2024-03-04,Prince Humperdink,29.18
2024-12-17,Vizzini,46.7
2024-02-26,Vizzini,7.46
2024-04-19,Miracle Max,60.09
2024-02-23,Prince Humperdink,73.61
2025-07-19,Valerie,91.11
2024-05-08,Count Rugen,22.01
2024-04-29,Fezzik,2.14
2024-08-13,Prince Humperdink,81.58
2024-09-28,Inigo Montoya,80.12
2024-12-22,Prince Humperdink,45.69
2025-11-29,Miracle Max,72.64
2024-10-04,Vizzini,66.16
2025-04-03,Prince Humperdink,11.46
2025-11-12,Buttercup,91.09
2024-05-06,Count Rugen,77.44
2024-12-02,Miracle Max,90.69
2025-01-18,Miracle Max,41.05
2025-04-14,Inigo Montoya,12.9
2024-05-01,Prince Humperdink,35.67
2024-02-22,Fezzik,62.95
2024-11-15,Inigo Montoya,86.24
2025-12-09,Vizzini,97.01
2025-07-23,Inigo Montoya,92.71
2025-06-23,Count Rugen,70.71
2024-07-01,Prince Humperdink,31.85
2024-07-15,Buttercup,75.82
2025-07-14,Vizzini,82.52
2025-02-17,Valerie,75.1
2025-03-31,Prince Humperdink,65.06
2025-08-14,Buttercup,67.11
2025-07-21,Count Rugen,47.49
2024-11-26,Inigo Montoya,71.69
2025-04-19,Miracle Max,5.0
2025-08-21,Count Rugen,40.23
2025-07-08,Vizzini,63.28
2025-02-01,Valerie,85.94
2025-06-05,Prince Humperdink,86.39
2025-12-08,Miracle Max,15.43
2025-04-26,Vizzini,63.61
2024-08-05,Count Rugen,69.84
2024-11-01,Valerie,75.7
2025-04-26,Buttercup,6.28
2025-08-30,Fezzik,84.58
2025-07-19,Inigo Montoya,94.28
2024-09-08,Count Rugen,62.99
2024-05-03,Vizzini,22.26
2025-06-21,Miracle Max,16.96
2024-07-07,Buttercup,12.77
2025-11-22,Miracle Max,87.62
2025-09-23,Inigo Montoya,84.98
2024-01-09,Prince Humperdink,66.5
2024-12-22,Buttercup,69.86
2024-01-12,Inigo Montoya,43.06
2025-10-06,Buttercup,23.76
2024-04-14,Count Rugen,67.37
2024-06-02,Buttercup,76.72
2025-04-03,Valerie,40.13
2024-01-08,Miracle Max,62.41
2024-02-13,Prince Humperdink,52.31
2025-10-30,Buttercup,81.94
2024-01-30,Buttercup,9.01
2025-12-15,Fezzik,92.16
2024-01-09,Inigo Montoya,20.51
2025-09-18,Valerie,20.24
2025-07-26,Count Rugen,97.48
2024-05-31,Prince Humperdink,62.37
2025-05-31,Buttercup,93.58
2024-05-29,Count Rugen,14.94
2024-05-26,Inigo Montoya,25.16
2025-06-16,Vizzini,36.88
2024-06-01,Count Rugen,30.62
2024-01-28,Count Rugen,51.91
2025-07-03,Miracle Max,52.74
2025-08-14,Buttercup,1.44
2024-03-28,Inigo Montoya,93.94
2025-03-03,Fezzik,3.84
2024-04-08,Valerie,26.36
2025-05-10,Inigo Montoya,76.18
2025-07-11,Inigo Montoya,81.25
2024-06-10,Valerie,45.89
2024-07-13,Fezzik,41.78
2024-11-21,Prince Humperdink,80.9
2024-11-13,Prince Humperdink,24.13
2025-07-26,Buttercup,57.84
2024-10-19,Valerie,21.11
2024-12-28,Miracle Max,76.08
2025-01-31,Inigo Montoya,28.07
2025-02-05,Prince Humperdink,18.04
2024-09-06,Count Rugen,62.92
2025-11-01,Valerie,94.74
2024-06-16,Miracle Max,59.24
2024-09-17,Prince Humperdink,67.21
2024-07-02,Buttercup,8.51
2024-03-28,Fezzik,84.19
2025-05-01,Vizzini,71.2
2024-01-26,Miracle Max,99.79
2025-03-07,Vizzini,94.1
2024-06-26,Miracle Max,5.45
2025-07-08,Vizzini,67.44
2024-10-03,Buttercup,58.77
2025-03-11,Count Rugen,12.02
2025-07-30,Count Rugen,45.61
2025-02-22,Vizzini,80.5
2025-03-10,Buttercup,18.75
2024-10-02,Count Rugen,41.11
2024-12-24,Inigo Montoya,74.54
2025-02-11,Fezzik,19.75
2024-11-01,Miracle Max,90.75
2025-03-21,Valerie,74.26
2025-01-30,Count Rugen,43.93
2025-02-16,Miracle Max,96.89
2025-03-13,Valerie,95.38
2024-09-09,Fezzik,25.7
2025-07-18,Vizzini,32.18
2024-09-06,Miracle Max,42.83
2025-10-11,Prince Humperdink,89.79
2025-08-24,Prince Humperdink,35.61
2025-10-29,Inigo Montoya,78.2
2025-06-12,Buttercup,15.21
2025-01-18,Count Rugen,63.94
2025-03-17,Prince Humperdink,42.07
2025-10-18,Fezzik,11.19
2024-03-11,Inigo Montoya,41.61
2025-11-18,Valerie,7.54
2025-03-25,Miracle Max,82.8
2024-01-30,Valerie,47.69
2025-05-31,Fezzik,78.76
2025-02-20,Vizzini,85.16
2025-09-27,Vizzini,41.15
2025-05-11,Fezzik,59.78
2025-06-03,Vizzini,70.84
2024-08-01,Buttercup,39.17
2024-02-02,Inigo Montoya,74.91
2025-02-22,Valerie,56.38
2024-02-24,Inigo Montoya,26.2
2024-06-06,Fezzik,28.4
2024-08-06,Buttercup,55.21
2024-02-27,Valerie,69.94
2024-08-30,Prince Humperdink,37.8
2024-11-28,Fezzik,28.41
2025-01-19,Valerie,98.96
2025-07-30,Buttercup,65.12
2024-05-17,Prince Humperdink,42.7
2025-08-28,Inigo Montoya,55.94
2024-09-26,Buttercup,34.34
2024-07-09,Count Rugen,39.0
2025-02-06,Inigo Montoya,10.15
2025-10-28,Vizzini,24.69
2025-08-19,Vizzini,84.25
2024-05-29,Fezzik,32.35
2025-04-22,Prince Humperdink,45.74
2024-02-11,Fezzik,92.61
2024-09-24,Prince Humperdink,61.93
2024-01-15,Inigo Montoya,57.42
2024-10-13,Count Rugen,3.97
2025-11-26,Inigo Montoya,21.04
2025-11-30,Prince Humperdink,78.14
2025-01-28,Prince Humperdink,97.34
2025-02-22,Fezzik,87.99
2025-02-14,Buttercup,5.74
2025-08-27,Prince Humperdink,82.17
2025-04-15,Fezzik,83.78
2025-10-19,Count Rugen,78.14
2024-05-11,Buttercup,1.96
2024-02-25,Fezzik,3.86
